Section,Key,thai,eng
page,page.description,ถึงเวลาทวงสิทธิและติดตามการทำงานของรัฐ,"It's time to claim our right and shine more light on the government
"
intro,intro.prologue1,"คนไทยเจอปัญหา PM2.5 มาแล้ว 20 ปี
","Thai people have faced PM 2.5 problem for 20 years.
"
intro,intro.prologue3,เมื่อเราต่างฝันถึงวันไร้ฝุ่น,We all dream of a dustless day.
intro,intro.prologue4,แต่ทำไมเราแก้ไม่ได้สักที,Why haven't we found ways to solve this issue?
intro,intro.title,สิทธิที่จะหายใจ สิทธิที่หายไปของคนไทย,The Missing Piece: Our Right to Breathe Free in Thailand
intro,intro.button1,ออกตามหา,Let's find out
intro,intro.button2,เช็กมาตรการแก้ปัญหาฝุ่น 2564-2570,PM2.5 Government Policies 2021-2027
chapter1,chapter1.name,รู้จักปัญหา: หน้าตา,Knowing the problem: the apperance
chapter1,chapter1.story1,"""ช่วงหน้าฝุ่นครั้งก่อน ผมรู้สึกระคายตาข้างซ้ายจนต้องไปโรงพยาบาล หมอเอาวัตถุปลายแหลมเขี่ยบางอย่างออกจากกระจกตาของผม เขาโชว์ไอ้ที่เขี่ยออกมาให้ดู มันเล็กมากจนผมมองไม่เห็น หมอบอกว่าเป็นฝุ่นละออง""","""During the last PM2.5 season, my eyes were so irritated that I had to go to the hospital. The doctor used a sharp-edged tool and got something out of my eyes. He showed me what he just got rid of but I couldn’t see because it was so small. The doctor said it was a particle matter."""
chapter1,chapter1.story2,**ธราธร อินทรเทพ** เล่าให้เราฟังระหว่างช่วงเวลาที่พักจากการวิ่งรถ เขาใช้เวลาบนถนนวันละ 14-16 ชั่วโมง ขับมอเตอร์ไซค์รับส่งคนและอาหารผ่านแอพพลิเคชั่นหลากหลาย เขาทำงานนี้มาแล้วหลายปีเพราะรักในความอิสระของงาน,"**Tharathorn Intaratep** told us about his story during his break time. As a motorcycle taxi driver, he spends between 14-16 hours on the road every day transporting people and delivering food via different mobile applications. He has been working as a driver for many years since it gives him the freedom he longs for."
chapter1,chapter1.story3,"""หลังจากวันนั้น ผมต้องปิดตา วิ่งงานไม่ได้ 2-3 วัน และไปหาหมอเป็นระยะ หมอแนะให้สวมหน้ากากและใส่หมวกกันน็อกที่ปิดกระจกบริเวณตา แต่ผมก็ทำไม่ได้ตลอดเพราะเวลาวิ่งกลางคืนมันมองไม่เห็น""","""After that day, I had to wear an eye patch and couldn’t work for a couple of days. I still had to see a doctor every once in a while. They suggested I wear a mask and a helmet with an eye shield. However, I couldn’t always wear that since it won’t let me see clearly at night."""
chapter1,chapter1.factbox1,**PM2.5** คือ ฝุ่นที่มีขนาดเล็กกว่าเส้นผม (2.5 ไมครอน) ทำให้รอดจากการดักจับของระบบทางเดินหายใจและเข้าไปถึงถุงลมฝอยของปอดได้โดยตรง อาการเบื้องต้นคือไอ หายใจไม่ถนัด ระคายเคืองผิว,"**PM2.5** refers to particles that are thinner than a human hair (2.5 micrometers), and therefore cannot be detected by our respiratory system. It can travel directly into capillaries in the lungs. Short-term health effects include coughing, shortness of breath, and skin irritation. 
"
chapter1,chapter1.factbox2,เมื่อเราหายใจอากาศที่มีปริมาณฝุ่นสูงเกินมาตรฐานความปลอดภัยนาน ร่างกายจะสะสมสารอันตรายที่อยู่ในฝุ่น ไม่ว่าจะเป็นโลหะหนัก สารก่อมะเร็ง และสารก่อภูมิแพ้ เพิ่มความเสี่ยงโรคต่างๆ คล้ายการสูบบุหรี่,"The longer we breathe air that contains PM2.5 that exceeds the limit considered safe, the higher chance we would develop serious diseases as the bodies receive deadly substances through PM2.5 such as heavy metals, carcinogens, and allergens. This is similar to what smoking does."
chapter1,chapter1.datavisual.title,"ช่วงที่ธราธรไม่สบาย แถวบ้านเขามีค่าฝุ่นเกินมาตรฐานถึง 35 วัน
","During his time of sickness, the PM2.5 level in and around his neighborhood has exceeded the limit for 35 days."
